state,total_cases,number_injured,number_killed,total_casualty,people_involved,spv,upd,tbt,mdv,bfl,ovl,dot,wot
Abia,30,146,31,177,279,19,0,4,0,3,0,0,5
Adamawa,77,234,36,270,443,57,0,3,2,0,1,0,17
Akwa Ibom,22,28,7,35,89,15,0,0,0,2,0,0,1
Anambra,72,152,20,172,526,43,0,3,0,9,0,0,4
Bauchi,154,685,90,775,1182,74,0,11,3,0,5,2,21
Bayelsa,1,3,0,3,3,1,0,0,0,0,0,0,0
Benue,77,177,25,202,254,81,0,0,0,0,0,0,0
Borno,25,67,16,83,118,11,0,4,2,0,0,0,0
Cross River,33,65,11,76,164,23,0,1,2,1,1,0,2
Delta,67,182,36,218,407,70,0,10,0,4,0,0,8
Ebonyi,27,82,11,93,200,9,0,8,0,0,0,0,6
Edo,55,118,32,150,311,77,0,9,2,2,2,0,4
Ekiti,30,71,9,80,185,23,0,1,0,4,0,0,7
Enugu,44,116,30,146,387,10,0,0,1,10,0,0,2
FCT,312,572,90,662,1543,284,1,18,4,7,1,4,13
Gombe,70,231,26,257,459,59,1,2,1,1,0,0,7
Imo,31,91,15,106,230,11,0,3,0,1,0,0,1
Jigawa,92,318,64,382,628,118,1,11,2,0,12,0,7
Kaduna,281,1010,224,1234,2234,194,1,13,0,5,3,4,15
Kano,102,499,194,693,1013,90,0,4,0,2,0,2,7
Katsina,77,277,39,316,421,80,0,1,2,3,0,0,4
Kebbi,58,222,56,278,387,45,0,3,2,0,0,0,6
Kogi,122,335,55,390,851,91,0,8,4,8,1,0,16
Kwara,102,313,60,373,694,105,1,5,3,5,0,0,18
Lagos,113,181,21,202,602,46,0,3,12,23,0,0,4
Nasarawa,200,513,65,578,961,114,0,6,4,1,0,0,12
Niger,110,347,91,438,653,102,0,1,1,4,0,0,4
Ogun,279,548,83,631,1678,254,0,22,10,28,4,1,12
Ondo,114,320,84,404,899,107,0,7,3,3,0,0,14
Osun,109,292,52,344,711,93,0,11,5,3,2,0,8
Oyo,155,385,68,453,1120,128,1,15,5,14,1,0,14
Plateau,45,123,17,140,255,18,0,2,3,9,0,0,3
Rivers,25,77,6,83,194,19,0,2,1,3,0,0,0
Sokoto,32,138,47,185,228,49,0,0,0,0,2,0,2
Taraba,59,149,7,156,284,57,0,2,1,0,1,0,4
Yobe,56,383,60,443,602,28,0,9,1,0,2,0,7
Zamfara,55,252,40,292,475,40,0,2,1,0,5,2,6
TOTAL,3313,9702,1818,11520,21670,2645,6,204,77,155,43,15,261
STATE,TOTAL CASES,NUMBER INJURED,NUMBER KILLED,TOTAL CASUALTY,PEOPLE INVOLVED,BFL,OVL,DOT,WOT,DGD,BRD,RTV,OBS
Abia,44,119,35,154,289,4,0,0,3,0,0,3,0
Adamawa,84,251,21,272,437,0,4,0,16,0,0,5,14
Akwa Ibom,22,35,12,47,117,3,0,0,2,1,0,1,0
Anambra,80,147,9,156,575,21,0,0,6,1,0,4,1
Bauchi,131,634,115,749,1138,0,0,1,18,15,1,4,2
Bayelsa,7,15,0,15,29,0,0,0,0,1,0,0,0
Benue,52,123,15,138,187,1,0,0,0,2,0,0,0
Borno,31,78,24,102,149,0,0,0,2,5,0,2,1
Cross River,25,50,30,80,135,2,0,0,5,3,0,0,0
Delta,71,196,51,247,482,7,0,0,5,3,0,2,0
Ebonyi,31,121,27,148,274,0,0,0,5,0,0,2,0
Edo,56,140,51,191,386,2,0,0,5,4,0,6,0
Ekiti,31,101,13,114,175,4,0,0,1,0,0,0,0
Enugu,66,222,37,259,505,7,0,0,5,7,0,5,0
FCT,278,518,56,574,1289,7,2,0,1,36,0,34,1
Gombe,72,232,31,263,388,2,3,0,2,11,0,4,2
Imo,16,71,17,88,116,2,0,0,3,0,0,0,0
Jigawa,67,264,35,299,443,0,12,0,6,6,0,5,7
Kaduna,256,1149,196,1345,2151,5,0,0,30,12,3,16,2
Kano,137,604,100,704,1013,1,2,4,17,6,1,12,2
Katsina,71,287,29,316,469,3,0,0,3,7,0,2,0
Kebbi,44,139,21,160,263,0,1,0,4,4,0,0,0
Kogi,143,425,94,519,1361,10,0,0,19,6,0,11,9
Kwara,100,369,69,438,680,1,1,1,17,2,0,0,0
Lagos,151,243,26,269,709,13,0,0,12,8,3,6,0
Nasarawa,176,452,77,529,931,3,0,0,10,34,1,11,0
Niger,108,492,93,585,809,4,2,0,11,8,0,7,1
Ogun,299,670,82,752,1908,23,6,1,18,8,10,11,4
Ondo,115,290,43,333,752,9,0,1,14,12,3,4,0
Osun,105,317,43,360,749,8,0,2,7,10,2,2,2
Oyo,176,399,103,502,1169,19,1,2,19,17,5,4,2
Plateau,48,130,15,145,251,7,1,0,4,9,0,0,1
Rivers,21,54,4,58,118,0,0,0,2,0,0,1,0
Sokoto,37,119,33,152,205,1,0,1,1,5,0,1,1
Taraba,67,213,12,225,315,0,0,0,3,21,0,1,3
Yobe,42,235,35,270,379,0,1,0,6,7,1,1,1
Zamfara,41,153,14,167,235,0,0,1,6,2,0,5,0
TOTAL,3301,10057,1668,11725,21581,169,36,14,288,273,30,172,56
STATE,NUMBER INJURED,NUMBER KILLED,TOTAL CASUALTY,PEOPLE INVOLVED,TBT,MDV,BFL,OVL,DOT,WOT,DGD,BRD,RTV
Abia,69,19,88,177,1,1,1,1,0,0,3,0,4
Adamawa,280,21,301,468,3,3,0,0,0,11,1,0,3
Akwa Ibom,32,10,42,87,0,0,1,0,0,2,1,1,1
Anambra,138,18,156,418,2,4,38,0,0,6,1,0,6
Bauchi,418,46,464,737,8,5,0,2,0,17,7,0,5
Bayelsa,19,3,22,42,0,0,0,0,0,0,1,0,1
Benue,170,19,189,236,0,0,0,0,0,0,2,0,1
Borno,65,4,69,103,7,0,0,0,0,3,0,0,0
Cross River,74,5,79,149,2,1,5,0,0,4,1,0,0
Delta,136,16,152,311,6,1,5,0,0,3,0,0,0
Ebonyi,82,15,97,185,6,0,0,0,0,4,0,0,1
Edo,154,34,188,370,3,2,4,0,0,9,1,0,1
Ekiti,98,20,118,252,2,0,1,1,0,1,4,1,0
Enugu,157,22,179,453,9,2,4,1,0,9,4,0,2
FCT,483,37,520,1273,10,4,6,0,0,1,22,0,15
Gombe,239,28,267,427,1,0,2,6,0,3,26,0,5
Imo,64,14,78,145,5,0,3,0,0,1,3,0,2
Jigawa,370,46,416,499,12,1,0,7,1,6,0,0,6
Kaduna,837,217,1054,1790,21,1,3,4,1,31,12,2,4
Kano,286,57,343,480,3,1,1,0,3,7,6,1,1
Katsina,148,40,188,229,2,0,0,0,0,2,8,3,0
Kebbi,130,4,134,220,0,0,0,1,0,4,1,0,4
Kogi,246,25,271,705,3,6,5,4,0,10,9,0,7
Kwara,368,80,448,750,10,6,3,0,0,16,3,0,0
Lagos,266,47,313,717,7,6,20,0,0,6,14,6,3
Nasarawa,600,53,653,1106,6,2,5,3,2,43,37,1,10
Niger,516,103,619,946,7,1,2,2,2,16,1,2,6
Ogun,637,121,758,1980,0,17,0,0,0,19,3,0,5
Ondo,299,47,346,772,9,3,5,0,0,13,13,5,3
Osun,250,52,302,615,15,3,7,1,1,8,4,2,4
Oyo,400,85,485,1009,10,2,4,0,0,22,12,5,11
Plateau,283,23,306,579,2,3,17,0,0,10,17,1,2
Rivers,65,6,71,142,0,0,2,0,2,3,4,0,4
Sokoto,87,37,124,196,0,0,0,1,0,0,3,0,0
Taraba,171,12,183,254,1,0,0,3,0,2,21,0,1
Yobe,168,17,185,247,11,0,0,0,0,6,6,0,0
Zamfara,213,50,263,386,5,0,0,2,0,5,0,0,4
TOTAL,9018,1453,10471,19455,189,75,144,39,12,303,251,30,122
ROAD TRAFFIC CRASHES ON STATE BASIS ,,,,,,,,,,,,,
STATE,NUMBER INJURED,NUMBER KILLED,TOTAL CASUALTY,PEOPLE INVOLVED,SPV,UPD,TBT,MDV,BFL,OVL,DOT,WOT,DGD
Abia,62,11,73,140,4,0,5,0,5,0,0,4,2
Adamawa,208,26,234,391,66,0,2,1,0,0,0,15,1
Akwa Ibom,18,1,19,75,11,0,0,0,0,0,0,0,3
Anambra,142,17,159,411,20,0,4,1,32,0,0,5,1
Bauchi,627,79,706,1010,69,0,7,7,0,2,1,15,6
Bayelsa,23,8,31,72,16,0,0,2,0,1,0,0,1
Benue,159,18,177,245,37,0,0,0,1,0,0,2,7
Borno,110,3,113,188,9,0,4,0,0,0,0,2,0
Cross River,144,15,159,229,24,0,5,1,1,0,0,7,0
Delta,122,23,145,279,30,0,2,4,2,0,2,3,0
Ebonyi,100,18,118,272,19,0,4,2,0,0,0,4,0
Edo,158,33,191,419,68,0,2,3,7,0,0,11,1
Ekiti,127,10,137,287,30,0,0,0,6,0,0,3,2
Enugu,270,28,298,748,45,0,6,1,21,0,0,7,2
FCT,562,57,619,1629,260,0,12,0,3,2,0,5,19
Gombe,218,13,231,334,38,3,5,1,1,0,0,7,8
Imo,85,16,101,251,10,0,2,1,4,0,0,3,3
Jigawa,312,65,377,560,89,0,8,1,0,7,1,3,2
Kaduna,684,144,828,1471,118,0,7,3,2,3,0,29,2
Kano,131,53,184,283,16,0,4,0,1,0,0,3,8
Katsina,98,33,131,138,21,0,2,0,0,0,0,1,2
Kebbi,159,59,218,312,41,0,0,1,0,1,0,4,8
Kogi,280,42,322,786,72,0,5,4,7,0,0,9,6
Kwara,255,21,276,551,65,0,5,5,3,0,0,7,4
Lagos,233,41,274,689,71,1,2,13,15,0,0,9,10
Nasarawa,535,33,568,921,126,0,9,1,4,1,0,32,34
Niger,577,150,727,1227,162,2,5,0,2,0,0,27,6
Ogun,618,98,716,1889,253,0,6,19,2,1,1,10,5
Ondo,251,51,302,580,72,0,2,1,4,0,1,11,12
Osun,324,82,406,866,78,0,8,4,6,1,0,17,9
Oyo,344,58,402,888,88,1,14,4,11,0,0,18,6
Plateau,249,25,274,417,23,0,4,5,15,0,0,9,10
Rivers,88,23,111,208,16,0,2,0,2,0,0,6,4
Sokoto,78,15,93,175,26,0,2,0,0,0,0,0,3
Taraba,128,3,131,211,18,0,0,0,0,1,0,6,15
Yobe,292,41,333,502,33,0,14,0,0,2,0,8,7
Zamfara,56,19,75,110,9,0,2,0,0,0,0,4,0
TOTAL,8827,1432,10259,19764,2153,7,161,85,157,22,6,306,209
STATE,NUMBER INJURED,NUMBER KILLED,TOTAL CASUALTY,PEOPLE INVOLVED,SPV,UPD,TBT,MDV,BFL,OVL,DOT,WOT,DGD
Abia,89,7,96,209,8,0,2,0,7,0,0,2,1
Adamawa,117,17,134,213,62,0,4,0,0,0,0,10,0
